lat_deg,mean_sb_dBW,mean_pt_dBW,pt_minus_sb_dBW,sample_sb,sample_pt,num_valid_grids
-39.5,NaN,NaN,NaN,0,0,0
-38.5,NaN,NaN,NaN,0,0,0
-37.5,NaN,NaN,NaN,0,0,0
-36.5,38.3443719825312,38.7723869997754,0.428015017244206,117400,694,17
-35.5,38.273192675748,38.7694682407939,0.496275565045934,2319494,31036,319
-34.5,38.2892891569209,38.7640521005779,0.474762943657026,2268041,407252,360
-33.5,38.2961543755913,38.8104901022464,0.514335726655133,1907312,795880,360
-32.5,38.3063061776729,38.8280910403332,0.521784862660297,1710174,979945,360
-31.5,38.3163729607767,38.8199133327382,0.503540371961499,1579882,1097135,360
-30.5,38.3286009819361,38.8031522412906,0.47455125935457,1484843,1134744,360
-29.5,38.3366066906009,38.7770696736283,0.440462983027395,1401067,1164342,360
-28.5,38.3411357303091,38.7577708837364,0.416635153427343,1324157,1172774,360
-27.5,38.3461491377002,38.7513773801904,0.405228242490182,1262284,1154563,360
-26.5,38.3509301895987,38.7549095937399,0.403979404141211,1223638,1113829,360
-25.5,38.3582527761973,38.7617431764937,0.403490400296349,1178588,1050194,360
-24.5,38.3682255589163,38.7680138831159,0.399788324199633,1121744,945317,360
-23.5,38.3840205261291,38.7671145452559,0.383094019126837,1077503,835137,360
-22.5,38.3919405744906,38.7729929311559,0.381052356665265,1047769,786809,360
-21.5,38.4043665054992,38.7800180701337,0.375651564634445,1020256,745866,360
-20.5,38.4183782772742,38.7944177811604,0.37603950388619,996320,714909,360
-19.5,38.4308557121012,38.8039099555968,0.373054243495567,972719,689302,360
-18.5,38.4401862207658,38.8136507072333,0.373464486467533,947686,664190,360
-17.5,38.4484760973291,38.818271737682,0.369795640352983,922277,640079,360
-16.5,38.4586612512327,38.8309865823753,0.372325331142605,899872,621996,360
-15.5,38.4680167232046,38.8376519414542,0.369635218249591,879413,601425,360
-14.5,38.479363955431,38.8400592773554,0.360695321924418,859867,588550,360
-13.5,38.4878903772704,38.8433141618187,0.355423784548293,841079,580818,360
-12.5,38.4954556023943,38.8460960911941,0.350640488799783,819494,574918,360
-11.5,38.5011323268081,38.8473528979598,0.346220571151704,801112,569732,360
-10.5,38.5080396775196,38.8442645067388,0.336224829219262,781693,563861,360
-9.5,38.5139526064358,38.8406498196114,0.326697213175599,764699,562084,360
-8.5,38.5130294733644,38.836198035955,0.323168562590531,747907,564878,360
-7.5,38.5097566284236,38.8200586316913,0.310302003267708,725225,569688,360
-6.5,38.5143210589773,38.8083564856056,0.294035426628298,705257,574924,360
-5.5,38.5219146228202,38.7916583458894,0.269743723069205,689995,578590,360
-4.5,38.5398776155318,38.7719838487231,0.232106233191288,675057,582035,360
-3.5,38.5550644445153,38.7540677706681,0.19900332615277,661092,585823,360
-2.5,38.5715580661894,38.7366677765378,0.165109710348368,651285,592406,360
-1.5,38.5896467336963,38.7177182227003,0.128071489003979,640381,596354,360
-0.5,38.6044158155234,38.703320285683,0.0989044701596811,637265,604151,360
0.5,38.6183991882108,38.6847676797622,0.0663684915513798,632059,613432,360
1.5,38.6366793367676,38.6683295213359,0.0316501845683348,628101,621986,360
2.5,38.6557640979952,38.6508247035921,-0.00493939440312374,621525,631621,360
3.5,38.6815936217091,38.6384707832079,-0.0431228385011551,615195,642839,360
4.5,38.695218015544,38.6321547024012,-0.0630633131427416,614344,658752,360
5.5,38.7011870853898,38.618652837451,-0.0825342479387956,612869,673207,360
6.5,38.7015988277058,38.6103618302814,-0.0912369974244456,615434,695030,360
